date,k,t,sig,dsig,s,ds
2006-06-15,0.5,0.5,0.16495775425048323,0.006871489626572913,1256.16,-0.0036846554428544565
2006-06-15,0.5,1.0,0.16135496851940934,0.011475073464146224,1256.16,-0.0036846554428544565
2006-06-15,1.0,0.0833333333,0.1610170424876417,0.040686023521513404,1256.16,-0.0036846554428544565
2006-06-15,1.0,0.1666666667,0.14512792720915124,0.04451359860576676,1256.16,-0.0036846554428544565
2006-06-15,1.0,0.25,0.14740251870996593,0.01474783029671145,1256.16,-0.0036846554428544565
2006-06-15,1.0,0.5,0.14872525652460925,0.013259546540319578,1256.16,-0.0036846554428544565
2006-06-15,1.0,1.0,0.14910091043449566,0.009207754306367777,1256.16,-0.0036846554428544565
2006-06-15,1.5,0.0833333333,0.15959439138884862,0.03412917955744077,1256.16,-0.0036846554428544565
2006-06-15,1.5,0.1666666667,0.13125842655993764,0.042550373690396937,1256.16,-0.0036846554428544565
2006-06-15,1.5,0.25,0.13873374948345335,-0.007470270311358274,1256.16,-0.0036846554428544565
2006-06-15,1.5,0.5,0.13387037188561765,0.01603592495640327,1256.16,-0.0036846554428544565
2006-06-15,1.5,1.0,0.136571858686043,0.007087374796603596,1256.16,-0.0036846554428544565
2006-06-15,2.0,0.0833333333,0.16715332315393014,0.03367903972337172,1256.16,-0.0036846554428544565
2006-06-15,2.0,0.1666666667,0.12515002552670823,0.04141660910055256,1256.16,-0.0036846554428544565
2006-06-15,2.0,0.25,0.13710463469919976,-0.03179878096342814,1256.16,-0.0036846554428544565
2006-06-15,2.0,0.5,0.12120532772761537,0.010532480874159589,1256.16,-0.0036846554428544565
2006-06-15,2.0,1.0,0.12411029376037579,0.007967984500085734,1256.16,-0.0036846554428544565
2006-06-16,-2.0,0.0833333333,0.4434620167442043,0.013191111403559441,1251.54,-0.009150516555291865
2006-06-16,-2.0,0.1666666667,0.3462111510407111,-0.013545672416124033,1251.54,-0.009150516555291865
2006-06-16,-2.0,0.25,0.2979537429118168,0.01629313408324573,1251.54,-0.009150516555291865
2006-06-16,-2.0,0.5,0.25415789469671074,-0.001182373481234622,1251.54,-0.009150516555291865
