# uid	ticker	name	region	category	provider	datasource	symbol	frequency	uid	foreign_currency	domestic_currency	bbid	maturity	type
3391	TDBMDSP	Bermudian Dollar To United States Dollar Spot	Bermuda	FX	Refinitiv	Datastream	TDBMDSP	B	3391	USD	BMD	USDBMD	0m	Outright
3392	TDBNDSP	Brunei Darassalam Dollar To United States Dollar Spot	Brunei	FX	Refinitiv	Datastream	TDBNDSP	B	3392	USD	BND	USDBND	0m	Outright
3393	TDBOBSP	Bolivian Boliviano To United States Dollar Spot	Bolivia	FX	Refinitiv	Datastream	TDBOBSP	B	3393	USD	BOB	USDBOB	0m	Outright
3394	TDBRLSP	Brazilian Real To United States Dollar Spot	Brazil	FX	Refinitiv	Datastream	TDBRLSP	B	3394	USD	BRL	USDBRL	0m	Outright
3395	TDBTSPR	Bhutanese Ngultrum To United States Dollar Spot	Bhutan	FX	Refinitiv	Datastream	TDBTSPR	B	3395	USD	INR	USDINR	0m	Outright
3396	TDBWPSP	Botswana Pula To United States Dollar Spot	Botswana	FX	Refinitiv	Datastream	TDBWPSP	B	3396	USD	BWP	USDBWP	0m	Outright
3397	TDBYNSP	Belarusian Ruble To United States Dollar Spot	Belarus	FX	Refinitiv	Datastream	TDBYNSP	B	3397	USD	BYN	USDBYN	0m	Outright
3398	TDBYRSP	Belarusian Ruble To United States Dollar Spot	Belarus	FX	Refinitiv	Datastream	TDBYRSP	B	3398	USD	BYN	USDBYN	0m	Outright
3399	TDBZDSP	Belizian Dollar To United States Dollar Spot	Belize	FX	Refinitiv	Datastream	TDBZDSP	B	3399	USD	BZD	USDBZD	0m	Outright
3400	TDCAD1M	Canadian Dollar To United States Dollar 1 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD1M	B	3400	USD	CAD	USDCAD	1m	Outright
3401	TDCAD1W	Canadian Dollar To United States Dollar 1 Week Forward	Canada	FX	Refinitiv	Datastream	TDCAD1W	B	3401	USD	CAD	USDCAD	1w	Outright
3402	TDCAD1Y	Canadian Dollar To United States Dollar 1 Year Forward	Canada	FX	Refinitiv	Datastream	TDCAD1Y	B	3402	USD	CAD	USDCAD	1y	Outright
3403	TDCAD2M	Canadian Dollar To United States Dollar 2 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD2M	B	3403	USD	CAD	USDCAD	2m	Outright
3404	TDCAD2W	Canadian Dollar To United States Dollar 2 Week Forward	Canada	FX	Refinitiv	Datastream	TDCAD2W	B	3404	USD	CAD	USDCAD	2w	Outright
3405	TDCAD3M	Canadian Dollar To United States Dollar 3 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD3M	B	3405	USD	CAD	USDCAD	3m	Outright
3406	TDCAD3W	Canadian Dollar To United States Dollar 3 Week Forward	Canada	FX	Refinitiv	Datastream	TDCAD3W	B	3406	USD	CAD	USDCAD	3w	Outright
3407	TDCAD6M	Canadian Dollar To United States Dollar 6 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD6M	B	3407	USD	CAD	USDCAD	6m	Outright
3408	TDCAD9M	Canadian Dollar To United States Dollar 9 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD9M	B	3408	USD	CAD	USDCAD	9m	Outright
3409	TDCADSP	Canadian Dollar To United States Dollar Spot	Canada	FX	Refinitiv	Datastream	TDCADSP	B	3409	USD	CAD	USDCAD	0m	Outright
3410	TDCDFSP	Congo (DRC) Francs To United States Dollar Spot	Congo	FX	Refinitiv	Datastream	TDCDFSP	B	3410	USD	DRC	USDDRC	0m	Outright
3411	TDCHF1M	Swiss Franc To United States Dollar 1 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF1M	B	3411	USD	CHF	USDCHF	1m	Outright
3412	TDCHF1W	Swiss Franc To United States Dollar 1 Week Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF1W	B	3412	USD	CHF	USDCHF	1w	Outright
3413	TDCHF1Y	Swiss Franc To United States Dollar 1 Year Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF1Y	B	3413	USD	CHF	USDCHF	1y	Outright
3414	TDCHF2M	Swiss Franc To United States Dollar 2 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF2M	B	3414	USD	CHF	USDCHF	2m	Outright
3415	TDCHF2W	Swiss Franc To United States Dollar 2 Week Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF2W	B	3415	USD	CHF	USDCHF	2w	Outright
