# uid	ticker	name	region	category	provider	datasource	symbol	frequency	uid	foreign_currency	domestic_currency	bbid	maturity	type
2667	USCYP9F	Cyprian Pound To United States Dollar 9 Month Forward	Cyprus	FX	WM/Refinitiv	Datastream	USCYP9F	B	2667	USD	CYP	USDCYP	9m	Outright
2668	USCYPND	Cyprian Pound To United States Dollar Spot	Cyprus	FX	GTIS - FTID/TR	Datastream	USCYPND	B	2668	USD	CYP	USDCYP	0m	Outright
2669	USECSCF	Ecuadorian Sucre To United States Dollar Spot	Ecuador	FX	GTIS - FTID/TR	Datastream	USECSCF	B	2669	USD	ECS	USDECS	0m	Outright
2670	USEEK1F	Estonian Kroon To United States Dollar 1 Month Forward	Estonia	FX	WM/Refinitiv	Datastream	USEEK1F	B	2670	USD	EEK	USDEEK	1m	Outright
2671	USEEK1W	Estonian Kroon To United States Dollar Spot-Week	Estonia	FX	WM/Refinitiv	Datastream	USEEK1W	B	2671	USD	EEK	USDEEK	SW	Outright
2672	USEEK1Y	Estonian Kroon To United States Dollar 1 Year Forward	Estonia	FX	WM/Refinitiv	Datastream	USEEK1Y	B	2672	USD	EEK	USDEEK	1y	Outright
2673	USEEK2F	Estonian Kroon To United States Dollar 2 Month Forward	Estonia	FX	WM/Refinitiv	Datastream	USEEK2F	B	2673	USD	EEK	USDEEK	2m	Outright
2674	USEEK3F	Estonian Kroon To United States Dollar 3 Month Forward	Estonia	FX	WM/Refinitiv	Datastream	USEEK3F	B	2674	USD	EEK	USDEEK	3m	Outright
2675	USEEK6F	Estonian Kroon To United States Dollar 6 Month Forward	Estonia	FX	WM/Refinitiv	Datastream	USEEK6F	B	2675	USD	EEK	USDEEK	6m	Outright
2676	USEEK9F	Estonian Kroon To United States Dollar 9 Month Forward	Estonia	FX	WM/Refinitiv	Datastream	USEEK9F	B	2676	USD	EEK	USDEEK	9m	Outright
2677	USEEKON	Estonian Kroon To United States Dollar Overnight	Estonia	FX	WM/Refinitiv	Datastream	USEEKON	B	2677	USD	EEK	USDEEK	ON	Outright
2678	USEEKTN	Estonian Kroon To United States Dollar Tomorrow-Next	Estonia	FX	WM/Refinitiv	Datastream	USEEKTN	B	2678	USD	EEK	USDEEK	TN	Outright
2679	USEGP1F	Egyptian Pound To United States Dollar 1 Month Forward	Egypt	FX	WM/Refinitiv	Datastream	USEGP1F	B	2679	USD	EGP	USDEGP	1m	Outright
2680	USEGP1W	Egyptian Pound To United States Dollar 1 Week Forward	Egypt	FX	WM/Refinitiv	Datastream	USEGP1W	B	2680	USD	EGP	USDEGP	1w	Outright
2681	USEGP1Y	Egyptian Pound To United States Dollar 1 Year Forward	Egypt	FX	WM/Refinitiv	Datastream	USEGP1Y	B	2681	USD	EGP	USDEGP	1y	Outright
2682	USEGP2F	Egyptian Pound To United States Dollar 2 Month Forward	Egypt	FX	WM/Refinitiv	Datastream	USEGP2F	B	2682	USD	EGP	USDEGP	2m	Outright
2683	USEGP3F	Egyptian Pound To United States Dollar 3 Month Forward	Egypt	FX	WM/Refinitiv	Datastream	USEGP3F	B	2683	USD	EGP	USDEGP	3m	Outright
2684	USEGP6F	Egyptian Pound To United States Dollar 6 Month Forward	Egypt	FX	WM/Refinitiv	Datastream	USEGP6F	B	2684	USD	EGP	USDEGP	6m	Outright
2685	USEGP9F	Egyptian Pound To United States Dollar 9 Month Forward	Egypt	FX	WM/Refinitiv	Datastream	USEGP9F	B	2685	USD	EGP	USDEGP	9m	Outright
2686	USEGYPT	Egyptian Pound To United States Dollar Spot	Egypt	FX	GTIS - FTID/TR	Datastream	USEGYPT	B	2686	USD	EGP	USDEGP	0m	Outright
2687	USGRD1F	Greek Drachma To United States Dollar 1 Month Forward	Greece	FX	WM/Refinitiv	Datastream	USGRD1F	B	2687	USD	GRD	USDGRD	1m	Outright
2688	USGRD2F	Greek Drachma To United States Dollar 2 Month Forward	Greece	FX	WM/Refinitiv	Datastream	USGRD2F	B	2688	USD	GRD	USDGRD	2m	Outright
2689	USGRD2Y	Greek Drachma To United States Dollar 2 Year Forward	Greece	FX	WM/Refinitiv	Datastream	USGRD2Y	B	2689	USD	GRD	USDGRD	2y	Outright
2690	USGRD3F	Greek Drachma To United States Dollar 3 Month Forward	Greece	FX	WM/Refinitiv	Datastream	USGRD3F	B	2690	USD	GRD	USDGRD	3m	Outright
2691	USGRD5Y	Greek Drachma To United States Dollar 5 Year Forward	Greece	FX	WM/Refinitiv	Datastream	USGRD5Y	B	2691	USD	GRD	USDGRD	5y	Outright
2692	USGRD6F	Greek Drachma To United States Dollar 6 Month Forward	Greece	FX	WM/Refinitiv	Datastream	USGRD6F	B	2692	USD	GRD	USDGRD	6m	Outright
2693	USGRD9F	Greek Drachma To United States Dollar 9 Month Forward	Greece	FX	WM/Refinitiv	Datastream	USGRD9F	B	2693	USD	GRD	USDGRD	9m	Outright
2694	USGRDON	Greek Drachma To United States Dollar Overnight	Greece	FX	WM/Refinitiv	Datastream	USGRDON	B	2694	USD	GRD	USDGRD	ON	Outright
2695	USGRDTN	Greek Drachma To United States Dollar Tomorrow-Next	Greece	FX	WM/Refinitiv	Datastream	USGRDTN	B	2695	USD	GRD	USDGRD	TN	Outright
2696	USGRDWF	Greek Drachma To United States Dollar Spot-Week	Greece	FX	WM/Refinitiv	Datastream	USGRDWF	B	2696	USD	GRD	USDGRD	SW	Outright
2697	USGRDYF	Greek Drachma To United States Dollar 1 Year Forward	Greece	FX	WM/Refinitiv	Datastream	USGRDYF	B	2697	USD	GRD	USDGRD	1y	Outright
2698	USGREDR	Greek Drachma To United States Dollar Spot	Greece	FX	GTIS - FTID/TR	Datastream	USGREDR	B	2698	USD	GRD	USDGRD	0m	Outright
2699	USHKD1F	Hong Kong Dollar To United States Dollar 1 Month Forward	Hong Kong	FX	WM/Refinitiv	Datastream	USHKD1F	B	2699	USD	HKD	USDHKD	1m	Outright
2700	USHKD2F	Hong Kong Dollar To United States Dollar 2 Month Forward	Hong Kong	FX	WM/Refinitiv	Datastream	USHKD2F	B	2700	USD	HKD	USDHKD	2m	Outright
2701	USHKD2Y	Hong Kong Dollar To United States Dollar 2 Year Forward	Hong Kong	FX	WM/Refinitiv	Datastream	USHKD2Y	B	2701	USD	HKD	USDHKD	2y	Outright
2702	USHKD3F	Hong Kong Dollar To United States Dollar 3 Month Forward	Hong Kong	FX	WM/Refinitiv	Datastream	USHKD3F	B	2702	USD	HKD	USDHKD	3m	Outright
2703	USHKD5Y	Hong Kong Dollar To United States Dollar 5 Year Forward	Hong Kong	FX	WM/Refinitiv	Datastream	USHKD5Y	B	2703	USD	HKD	USDHKD	5y	Outright
2704	USHKD6F	Hong Kong Dollar To United States Dollar 6 Month Forward	Hong Kong	FX	WM/Refinitiv	Datastream	USHKD6F	B	2704	USD	HKD	USDHKD	6m	Outright
2705	USHKD9F	Hong Kong Dollar To United States Dollar 9 Month Forward	Hong Kong	FX	WM/Refinitiv	Datastream	USHKD9F	B	2705	USD	HKD	USDHKD	9m	Outright
2706	USHKDOL	Hong Kong Dollar To United States Dollar Spot	Hong Kong	FX	GTIS - FTID/TR	Datastream	USHKDOL	B	2706	USD	HKD	USDHKD	0m	Outright
2707	USHKDON	Hong Kong Dollar To United States Dollar Overnight	Hong Kong	FX	WM/Refinitiv	Datastream	USHKDON	B	2707	USD	HKD	USDHKD	ON	Outright
2708	USHKDTN	Hong Kong Dollar To United States Dollar Tomorrow-Next	Hong Kong	FX	WM/Refinitiv	Datastream	USHKDTN	B	2708	USD	HKD	USDHKD	TN	Outright
2709	USHKDWF	Hong Kong Dollar To United States Dollar Spot-Week	Hong Kong	FX	WM/Refinitiv	Datastream	USHKDWF	B	2709	USD	HKD	USDHKD	SW	Outright
2710	USHKDYF	Hong Kong Dollar To United States Dollar 1 Year Forward	Hong Kong	FX	WM/Refinitiv	Datastream	USHKDYF	B	2710	USD	HKD	USDHKD	1y	Outright
2711	USHRK1F	Croatian Kuna To United States Dollar 1 Month Forward	Croatia	FX	WM/Refinitiv	Datastream	USHRK1F	B	2711	USD	HRK	USDHRK	1m	Outright
2712	USHRK1W	Croatian Kuna To United States Dollar Spot-Week	Croatia	FX	WM/Refinitiv	Datastream	USHRK1W	B	2712	USD	HRK	USDHRK	SW	Outright
2713	USHRK1Y	Croatian Kuna To United States Dollar 1 Year Forward	Croatia	FX	WM/Refinitiv	Datastream	USHRK1Y	B	2713	USD	HRK	USDHRK	1y	Outright
2714	USHRK2F	Croatian Kuna To United States Dollar 2 Month Forward	Croatia	FX	WM/Refinitiv	Datastream	USHRK2F	B	2714	USD	HRK	USDHRK	2m	Outright
2715	USHRK3F	Croatian Kuna To United States Dollar 3 Month Forward	Croatia	FX	WM/Refinitiv	Datastream	USHRK3F	B	2715	USD	HRK	USDHRK	3m	Outright
2716	USHRK6F	Croatian Kuna To United States Dollar 6 Month Forward	Croatia	FX	WM/Refinitiv	Datastream	USHRK6F	B	2716	USD	HRK	USDHRK	6m	Outright
2717	USHRK9F	Croatian Kuna To United States Dollar 9 Month Forward	Croatia	FX	WM/Refinitiv	Datastream	USHRK9F	B	2717	USD	HRK	USDHRK	9m	Outright
2718	USICEKR	Icelandic Krona To United States Dollar Spot	Iceland	FX	GTIS - FTID/TR	Datastream	USICEKR	B	2718	USD	ISK	USDISK	0m	Outright
2719	USISK1F	Icelandic Krona To United States Dollar 1 Month Forward	Iceland	FX	WM/Refinitiv	Datastream	USISK1F	B	2719	USD	ISK	USDISK	1m	Outright
2720	USISK1W	Icelandic Krona To United States Dollar Spot-Week	Iceland	FX	WM/Refinitiv	Datastream	USISK1W	B	2720	USD	ISK	USDISK	SW	Outright
2721	USISK1Y	Icelandic Krona To United States Dollar 1 Year Forward	Iceland	FX	WM/Refinitiv	Datastream	USISK1Y	B	2721	USD	ISK	USDISK	1y	Outright
2722	USISK2F	Icelandic Krona To United States Dollar 2 Month Forward	Iceland	FX	WM/Refinitiv	Datastream	USISK2F	B	2722	USD	ISK	USDISK	2m	Outright
2723	USISK3F	Icelandic Krona To United States Dollar 3 Month Forward	Iceland	FX	WM/Refinitiv	Datastream	USISK3F	B	2723	USD	ISK	USDISK	3m	Outright
2724	USISK6F	Icelandic Krona To United States Dollar 6 Month Forward	Iceland	FX	WM/Refinitiv	Datastream	USISK6F	B	2724	USD	ISK	USDISK	6m	Outright
2725	USISK9F	Icelandic Krona To United States Dollar 9 Month Forward	Iceland	FX	WM/Refinitiv	Datastream	USISK9F	B	2725	USD	ISK	USDISK	9m	Outright
2726	USISKON	Icelandic Krona To United States Dollar Overnight	Iceland	FX	WM/Refinitiv	Datastream	USISKON	B	2726	USD	ISK	USDISK	ON	Outright
2727	USISKTN	Icelandic Krona To United States Dollar Tomorrow-Next	Iceland	FX	WM/Refinitiv	Datastream	USISKTN	B	2727	USD	ISK	USDISK	TN	Outright
2728	USJOD1F	Jordanian Dinar To United States Dollar 1 Month Forward	Jordan	FX	WM/Refinitiv	Datastream	USJOD1F	B	2728	USD	JOD	USDJOD	1m	Outright
2729	USJOD1W	Jordanian Dinar To United States Dollar Spot-Week	Jordan	FX	WM/Refinitiv	Datastream	USJOD1W	B	2729	USD	JOD	USDJOD	SW	Outright
2730	USJOD1Y	Jordanian Dinar To United States Dollar 1 Year Forward	Jordan	FX	WM/Refinitiv	Datastream	USJOD1Y	B	2730	USD	JOD	USDJOD	1y	Outright
2731	USJOD2F	Jordanian Dinar To United States Dollar 2 Month Forward	Jordan	FX	WM/Refinitiv	Datastream	USJOD2F	B	2731	USD	JOD	USDJOD	2m	Outright
2732	USJOD2Y	Jordanian Dinar To United States Dollar 2 Year Forward	Jordan	FX	WM/Refinitiv	Datastream	USJOD2Y	B	2732	USD	JOD	USDJOD	2y	Outright
2733	USJOD3F	Jordanian Dinar To United States Dollar 3 Month Forward	Jordan	FX	WM/Refinitiv	Datastream	USJOD3F	B	2733	USD	JOD	USDJOD	3m	Outright
2734	USJOD6F	Jordanian Dinar To United States Dollar 6 Month Forward	Jordan	FX	WM/Refinitiv	Datastream	USJOD6F	B	2734	USD	JOD	USDJOD	6m	Outright
2735	USJOD9F	Jordanian Dinar To United States Dollar 9 Month Forward	Jordan	FX	WM/Refinitiv	Datastream	USJOD9F	B	2735	USD	JOD	USDJOD	9m	Outright
2736	USKENYA	Kenyan Shilling To United States Dollar Spot	Kenya	FX	GTIS - FTID/TR	Datastream	USKENYA	B	2736	USD	KES	USDKES	0m	Outright
2737	USKES1F	Kenyan Shilling To United States Dollar 1 Month Forward	Kenya	FX	WM/Refinitiv	Datastream	USKES1F	B	2737	USD	KES	USDKES	1m	Outright
2738	USKES1W	Kenyan Shilling To United States Dollar Spot-Week	Kenya	FX	WM/Refinitiv	Datastream	USKES1W	B	2738	USD	KES	USDKES	SW	Outright
2739	USKES1Y	Kenyan Shilling To United States Dollar 1 Year Forward	Kenya	FX	WM/Refinitiv	Datastream	USKES1Y	B	2739	USD	KES	USDKES	1y	Outright
2740	USKES2F	Kenyan Shilling To United States Dollar 2 Month Forward	Kenya	FX	WM/Refinitiv	Datastream	USKES2F	B	2740	USD	KES	USDKES	2m	Outright
2741	USKES3F	Kenyan Shilling To United States Dollar 3 Month Forward	Kenya	FX	WM/Refinitiv	Datastream	USKES3F	B	2741	USD	KES	USDKES	3m	Outright
2742	USKES6F	Kenyan Shilling To United States Dollar 6 Month Forward	Kenya	FX	WM/Refinitiv	Datastream	USKES6F	B	2742	USD	KES	USDKES	6m	Outright
2743	USKES9F	Kenyan Shilling To United States Dollar 9 Month Forward	Kenya	FX	WM/Refinitiv	Datastream	USKES9F	B	2743	USD	KES	USDKES	9m	Outright
2744	USKESON	Kenyan Shilling To United States Dollar Overnight	Kenya	FX	WM/Refinitiv	Datastream	USKESON	B	2744	USD	KES	USDKES	ON	Outright
2745	USKESTN	Kenyan Shilling To United States Dollar Tomorrow-Next	Kenya	FX	WM/Refinitiv	Datastream	USKESTN	B	2745	USD	KES	USDKES	TN	Outright
2746	USKUWTD	Kuwaiti Dinar To United States Dollar Spot	Kuwait	FX	GTIS - FTID/TR	Datastream	USKUWTD	B	2746	USD	KWD	USDKWD	0m	Outright
2747	USKWD1F	Kuwaiti Dinar To United States Dollar 1 Month Forward	Kuwait	FX	WM/Refinitiv	Datastream	USKWD1F	B	2747	USD	KWD	USDKWD	1m	Outright
2748	USKWD2F	Kuwaiti Dinar To United States Dollar 2 Month Forward	Kuwait	FX	WM/Refinitiv	Datastream	USKWD2F	B	2748	USD	KWD	USDKWD	2m	Outright
2749	USKWD2Y	Kuwaiti Dinar To United States Dollar 2 Year Forward	Kuwait	FX	WM/Refinitiv	Datastream	USKWD2Y	B	2749	USD	KWD	USDKWD	2y	Outright
2750	USKWD3F	Kuwaiti Dinar To United States Dollar 3 Month Forward	Kuwait	FX	WM/Refinitiv	Datastream	USKWD3F	B	2750	USD	KWD	USDKWD	3m	Outright
2751	USKWD6F	Kuwaiti Dinar To United States Dollar 6 Month Forward	Kuwait	FX	WM/Refinitiv	Datastream	USKWD6F	B	2751	USD	KWD	USDKWD	6m	Outright
2752	USKWD9F	Kuwaiti Dinar To United States Dollar 9 Month Forward	Kuwait	FX	WM/Refinitiv	Datastream	USKWD9F	B	2752	USD	KWD	USDKWD	9m	Outright
2753	USKWDON	Kuwaiti Dinar To United States Dollar Overnight	Kuwait	FX	WM/Refinitiv	Datastream	USKWDON	B	2753	USD	KWD	USDKWD	ON	Outright
2754	USKWDTN	Kuwaiti Dinar To United States Dollar Tomorrow-Next	Kuwait	FX	WM/Refinitiv	Datastream	USKWDTN	B	2754	USD	KWD	USDKWD	TN	Outright
2755	USKWDWF	Kuwaiti Dinar To United States Dollar Spot-Week	Kuwait	FX	WM/Refinitiv	Datastream	USKWDWF	B	2755	USD	KWD	USDKWD	SW	Outright
2756	USKWDYF	Kuwaiti Dinar To United States Dollar 1 Year Forward	Kuwait	FX	WM/Refinitiv	Datastream	USKWDYF	B	2756	USD	KWD	USDKWD	1y	Outright
2757	USLOVAK	Slovak Koruna To United States Dollar Spot	Slovakia	FX	GTIS - FTID/TR	Datastream	USLOVAK	B	2757	USD	SKK	USDSKK	0m	Outright
2758	USLTL1F	Lithuanian Lita To United States Dollar 1 Month Forward	Lithuania	FX	WM/Refinitiv	Datastream	USLTL1F	B	2758	USD	LTL	USDLTL	1m	Outright
2759	USLTL1W	Lithuanian Lita To United States Dollar Spot-Week	Lithuania	FX	WM/Refinitiv	Datastream	USLTL1W	B	2759	USD	LTL	USDLTL	SW	Outright
2760	USLTL1Y	Lithuanian Lita To United States Dollar 1 Year Forward	Lithuania	FX	WM/Refinitiv	Datastream	USLTL1Y	B	2760	USD	LTL	USDLTL	1y	Outright
2761	USLTL2F	Lithuanian Lita To United States Dollar 2 Month Forward	Lithuania	FX	WM/Refinitiv	Datastream	USLTL2F	B	2761	USD	LTL	USDLTL	2m	Outright
2762	USLTL3F	Lithuanian Lita To United States Dollar 3 Month Forward	Lithuania	FX	WM/Refinitiv	Datastream	USLTL3F	B	2762	USD	LTL	USDLTL	3m	Outright
2763	USLTL6F	Lithuanian Lita To United States Dollar 6 Month Forward	Lithuania	FX	WM/Refinitiv	Datastream	USLTL6F	B	2763	USD	LTL	USDLTL	6m	Outright
2764	USLTL9F	Lithuanian Lita To United States Dollar 9 Month Forward	Lithuania	FX	WM/Refinitiv	Datastream	USLTL9F	B	2764	USD	LTL	USDLTL	9m	Outright
2765	USLTLON	Lithuanian Lita To United States Dollar Overnight	Lithuania	FX	WM/Refinitiv	Datastream	USLTLON	B	2765	USD	LTL	USDLTL	ON	Outright
2766	USLTLTN	Lithuanian Lita To United States Dollar Tomorrow-Next	Lithuania	FX	WM/Refinitiv	Datastream	USLTLTN	B	2766	USD	LTL	USDLTL	TN	Outright
2767	USLVL1F	Latvian Lat To United States Dollar 1 Month Forward	Latvia	FX	WM/Refinitiv	Datastream	USLVL1F	B	2767	USD	LVL	USDLVL	1m	Outright
2768	USLVL1W	Latvian Lat To United States Dollar Spot-Week	Latvia	FX	WM/Refinitiv	Datastream	USLVL1W	B	2768	USD	LVL	USDLVL	SW	Outright
2769	USLVL1Y	Latvian Lat To United States Dollar 1 Year Forward	Latvia	FX	WM/Refinitiv	Datastream	USLVL1Y	B	2769	USD	LVL	USDLVL	1y	Outright
2770	USLVL2F	Latvian Lat To United States Dollar 2 Month Forward	Latvia	FX	WM/Refinitiv	Datastream	USLVL2F	B	2770	USD	LVL	USDLVL	2m	Outright
2771	USLVL3F	Latvian Lat To United States Dollar 3 Month Forward	Latvia	FX	WM/Refinitiv	Datastream	USLVL3F	B	2771	USD	LVL	USDLVL	3m	Outright
2772	USLVL6F	Latvian Lat To United States Dollar 6 Month Forward	Latvia	FX	WM/Refinitiv	Datastream	USLVL6F	B	2772	USD	LVL	USDLVL	6m	Outright
2773	USLVL9F	Latvian Lat To United States Dollar 9 Month Forward	Latvia	FX	WM/Refinitiv	Datastream	USLVL9F	B	2773	USD	LVL	USDLVL	9m	Outright
2774	USLVLON	Latvian Lat To United States Dollar Overnight	Latvia	FX	WM/Refinitiv	Datastream	USLVLON	B	2774	USD	LVL	USDLVL	ON	Outright
2775	USLVLTN	Latvian Lat To United States Dollar Tomorrow-Next	Latvia	FX	WM/Refinitiv	Datastream	USLVLTN	B	2775	USD	LVL	USDLVL	TN	Outright
2776	USMAD1F	Moroccan Dirham To United States Dollar 1 Month Forward	Morocco	FX	WM/Refinitiv	Datastream	USMAD1F	B	2776	USD	MAD	USDMAD	1m	Outright
2777	USMAD1W	Moroccan Dirham To United States Dollar Spot-Week	Morocco	FX	WM/Refinitiv	Datastream	USMAD1W	B	2777	USD	MAD	USDMAD	SW	Outright
2778	USMAD1Y	Moroccan Dirham To United States Dollar 1 Year Forward	Morocco	FX	WM/Refinitiv	Datastream	USMAD1Y	B	2778	USD	MAD	USDMAD	1y	Outright
2779	USMAD2F	Moroccan Dirham To United States Dollar 2 Month Forward	Morocco	FX	WM/Refinitiv	Datastream	USMAD2F	B	2779	USD	MAD	USDMAD	2m	Outright
2780	USMAD2Y	Moroccan Dirham To United States Dollar 2 Year Forward	Morocco	FX	WM/Refinitiv	Datastream	USMAD2Y	B	2780	USD	MAD	USDMAD	2y	Outright
2781	USMAD3F	Moroccan Dirham To United States Dollar 3 Month Forward	Morocco	FX	WM/Refinitiv	Datastream	USMAD3F	B	2781	USD	MAD	USDMAD	3m	Outright
2782	USMAD6F	Moroccan Dirham To United States Dollar 6 Month Forward	Morocco	FX	WM/Refinitiv	Datastream	USMAD6F	B	2782	USD	MAD	USDMAD	6m	Outright
2783	USMAD9F	Moroccan Dirham To United States Dollar 9 Month Forward	Morocco	FX	WM/Refinitiv	Datastream	USMAD9F	B	2783	USD	MAD	USDMAD	9m	Outright
2784	USMADTN	Moroccan Dirham To United States Dollar Tomorrow-Next	Morocco	FX	WM/Refinitiv	Datastream	USMADTN	B	2784	USD	MAD	USDMAD	TN	Outright
2785	USMALAY	Malaysian Ringgit To United States Dollar Spot	Malaysia	FX	WM/Refinitiv	Datastream	USMALAY	B	2785	USD	MYR	USDMYR	0m	Outright
2786	USMALTL	Maltese Lira To United States Dollar Spot	Malta	FX	GTIS - FTID/TR	Datastream	USMALTL	B	2786	USD	MTL	USDMTL	0m	Outright
2787	USMOROC	Moroccan Dirham To United States Dollar Spot	Morocco	FX	GTIS - FTID/TR	Datastream	USMOROC	B	2787	USD	MAD	USDMAD	0m	Outright
2788	USMTL1F	Maltese Lira To United States Dollar 1 Month Forward	Malta	FX	WM/Refinitiv	Datastream	USMTL1F	B	2788	USD	MTL	USDMTL	1m	Outright
2789	USMTL1W	Maltese Lira To United States Dollar Spot-Week	Malta	FX	WM/Refinitiv	Datastream	USMTL1W	B	2789	USD	MTL	USDMTL	SW	Outright
2790	USMTL1Y	Maltese Lira To United States Dollar 1 Year Forward	Malta	FX	WM/Refinitiv	Datastream	USMTL1Y	B	2790	USD	MTL	USDMTL	1y	Outright
2791	USMTL2F	Maltese Lira To United States Dollar 2 Month Forward	Malta	FX	WM/Refinitiv	Datastream	USMTL2F	B	2791	USD	MTL	USDMTL	2m	Outright
2792	USMTL3F	Maltese Lira To United States Dollar 3 Month Forward	Malta	FX	WM/Refinitiv	Datastream	USMTL3F	B	2792	USD	MTL	USDMTL	3m	Outright
2793	USMTL6F	Maltese Lira To United States Dollar 6 Month Forward	Malta	FX	WM/Refinitiv	Datastream	USMTL6F	B	2793	USD	MTL	USDMTL	6m	Outright
2794	USMTL9F	Maltese Lira To United States Dollar 9 Month Forward	Malta	FX	WM/Refinitiv	Datastream	USMTL9F	B	2794	USD	MTL	USDMTL	9m	Outright
2795	USMYR1F	Malaysian Ringgit To United States Dollar 1 Month Forward	Malaysia	FX	WM/Refinitiv	Datastream	USMYR1F	B	2795	USD	MYR	USDMYR	1m	Outright
2797	USMYR2F	Malaysian Ringgit To United States Dollar 2 Month Forward	Malaysia	FX	WM/Refinitiv	Datastream	USMYR2F	B	2797	USD	MYR	USDMYR	2m	Outright
2799	USMYR3F	Malaysian Ringgit To United States Dollar 3 Month Forward	Malaysia	FX	WM/Refinitiv	Datastream	USMYR3F	B	2799	USD	MYR	USDMYR	3m	Outright
2801	USMYR6F	Malaysian Ringgit To United States Dollar 6 Month Forward	Malaysia	FX	WM/Refinitiv	Datastream	USMYR6F	B	2801	USD	MYR	USDMYR	6m	Outright
2803	USMYR9F	Malaysian Ringgit To United States Dollar 9 Month Forward	Malaysia	FX	WM/Refinitiv	Datastream	USMYR9F	B	2803	USD	MYR	USDMYR	9m	Outright
2805	USMYRON	Malaysian Ringgit To United States Dollar Overnight	Malaysia	FX	WM/Refinitiv	Datastream	USMYRON	B	2805	USD	MYR	USDMYR	ON	Outright
2807	USMYRTN	Malaysian Ringgit To United States Dollar Tomorrow-Next	Malaysia	FX	WM/Refinitiv	Datastream	USMYRTN	B	2807	USD	MYR	USDMYR	TN	Outright
2809	USMYRWF	Malaysian Ringgit To United States Dollar Spot-Week	Malaysia	FX	WM/Refinitiv	Datastream	USMYRWF	B	2809	USD	MYR	USDMYR	SW	Outright
2811	USMYRYF	Malaysian Ringgit To United States Dollar 1 Year Forward	Malaysia	FX	WM/Refinitiv	Datastream	USMYRYF	B	2811	USD	MYR	USDMYR	1y	Outright
2813	USPEN1F	Peruvian Sol To United States Dollar 1 Month Forward	Peru	FX	WM/Refinitiv	Datastream	USPEN1F	B	2813	USD	PEN	USDPEN	1m	Outright
2814	USPEN1W	Peruvian Sol To United States Dollar Spot-Week	Peru	FX	WM/Refinitiv	Datastream	USPEN1W	B	2814	USD	PEN	USDPEN	SW	Outright
2815	USPEN1Y	Peruvian Sol To United States Dollar 1 Year Forward	Peru	FX	WM/Refinitiv	Datastream	USPEN1Y	B	2815	USD	PEN	USDPEN	1y	Outright
2816	USPEN2F	Peruvian Sol To United States Dollar 2 Month Forward	Peru	FX	WM/Refinitiv	Datastream	USPEN2F	B	2816	USD	PEN	USDPEN	2m	Outright
2817	USPEN3F	Peruvian Sol To United States Dollar 3 Month Forward	Peru	FX	WM/Refinitiv	Datastream	USPEN3F	B	2817	USD	PEN	USDPEN	3m	Outright
2818	USPEN6F	Peruvian Sol To United States Dollar 6 Month Forward	Peru	FX	WM/Refinitiv	Datastream	USPEN6F	B	2818	USD	PEN	USDPEN	6m	Outright
2819	USPEN9F	Peruvian Sol To United States Dollar 9 Month Forward	Peru	FX	WM/Refinitiv	Datastream	USPEN9F	B	2819	USD	PEN	USDPEN	9m	Outright
2820	USPHILP	Philippine Peso To United States Dollar Spot	Philippines	FX	GTIS - FTID/TR	Datastream	USPHILP	B	2820	USD	PHP	USDPHP	0m	Outright
2821	USPHP1F	Philippine Peso To United States Dollar 1 Month Forward	Philippines	FX	WM/Refinitiv	Datastream	USPHP1F	B	2821	USD	PHP	USDPHP	1m	Outright
2822	USPHP2F	Philippine Peso To United States Dollar 2 Month Forward	Philippines	FX	WM/Refinitiv	Datastream	USPHP2F	B	2822	USD	PHP	USDPHP	2m	Outright
2823	USPHP3F	Philippine Peso To United States Dollar 3 Month Forward	Philippines	FX	WM/Refinitiv	Datastream	USPHP3F	B	2823	USD	PHP	USDPHP	3m	Outright
2824	USPHP6F	Philippine Peso To United States Dollar 6 Month Forward	Philippines	FX	WM/Refinitiv	Datastream	USPHP6F	B	2824	USD	PHP	USDPHP	6m	Outright
2825	USPHP9F	Philippine Peso To United States Dollar 9 Month Forward	Philippines	FX	WM/Refinitiv	Datastream	USPHP9F	B	2825	USD	PHP	USDPHP	9m	Outright
2826	USPHPON	Philippine Peso To United States Dollar Overnight	Philippines	FX	WM/Refinitiv	Datastream	USPHPON	B	2826	USD	PHP	USDPHP	ON	Outright
2827	USPHPTN	Philippine Peso To United States Dollar Tomorrow-Next	Philippines	FX	WM/Refinitiv	Datastream	USPHPTN	B	2827	USD	PHP	USDPHP	TN	Outright
2828	USPHPWF	Philippine Peso To United States Dollar Spot-Week	Philippines	FX	WM/Refinitiv	Datastream	USPHPWF	B	2828	USD	PHP	USDPHP	SW	Outright
2829	USPHPYF	Philippine Peso To United States Dollar 1 Year Forward	Philippines	FX	WM/Refinitiv	Datastream	USPHPYF	B	2829	USD	PHP	USDPHP	1y	Outright
2830	USPKR1F	Pakistani Rupee To United States Dollar 1 Month Forward	Pakistan	FX	WM/Refinitiv	Datastream	USPKR1F	B	2830	USD	PKR	USDPKR	1m	Outright
2831	USPKR1W	Pakistani Rupee To United States Dollar Spot-Week	Pakistan	FX	WM/Refinitiv	Datastream	USPKR1W	B	2831	USD	PKR	USDPKR	SW	Outright
2832	USPKR1Y	Pakistani Rupee To United States Dollar 1 Year Forward	Pakistan	FX	WM/Refinitiv	Datastream	USPKR1Y	B	2832	USD	PKR	USDPKR	1y	Outright
